,job_no,roles,companies,locations,experience,salaries,skills
452,54,data scientist- gen ai,tech mahindra,"['hyderabad', ' bengaluru']",5-10,not disclosed,"['gen ai', 'python', 'nlp', 'machine learning', 'deep learning', 'artificial intelligence', 'machine', 'gen']"
453,55,opportunity | data scientist | tavant india,tavant technologies,"['hybrid - noida', ' hyderabad/secunderabad', ' bangalore/bengaluru']",10-17,not disclosed,"['elastic search', 'python', 'nlp', 'open search', 'machine learning', 'open', 'natural language processing', 'searching']"
454,56,data scientist,poppulo,['bengaluru'],5-7,not disclosed,"['computer science', 'vista', 'consulting', 'machine learning', 'data visualization', 'open source', 'analytics', 'private equity']"
455,57,data scientist,sdi business services,['hybrid - bengaluru'],5-9,not disclosed,"['data scientist', 'powerbi', 'machine learning', 'qliksense', 'python', 'sql', 'machine', 'qlikview']"
456,58,data scientist,cimpress,['remote'],1-5,not disclosed,"['algorithms', 'python', 'development', 'cnn', 'natural language processing', 'mathematics', 'neural networks', 'dl']"
457,59,data scientist,gojek,['bengaluru'],1-2,not disclosed,"['operations research', 'prototype', 'version control', 'machine learning', 'data processing', 'sql', 'python', 'technical documentation']"
458,60,data scientist,grid dynamics,['hyderabad'],3-8,not disclosed,"['python', 'algorithms', 'technology consulting', 'pyspark', 'software engineering', 'machine learning', 'artificial intelligence', 'consulting']"
459,61,data scientist i b - gbs,bank of america,['hyderabad'],5-8,not disclosed,"['data analysis', 'software design', 'consulting', 'oracle', 'risk management', 'jira', 'software implementation', 'sql']"
460,62,data scientist,global pharma tek,['bengaluru'],3-5,not disclosed,"['data science', 'tensorflow', 'deep learning', 'pytorch', 'scikit-learn', 'opencv', 'pandas', 'natural language processing']"
461,63,data scientist azure,leading client,['bengaluru'],6-11,not disclosed,"['azure', 'data science', 'cnn', 'r', 'nlp', 'data scientist', 'llm', 'machine learning']"
462,64,quantitative analyst / data scientist,bestex research,['bengaluru'],0-3,not disclosed,"['computer science', 'c++', 'data management', 'simulation', 'data collection', 'market data', 'analytics', 'sql']"
463,65,data scientist,ltimindtree,"['hybrid - hyderabad', ' bangalore rural', ' chennai']",5-10,not disclosed,"['data science', 'pytorch', 'python', 'tensorflow', 'pandas', 'keras', 'scikit-learn', 'numpy']"
464,66,data scientist,innova solutions,['hybrid - hyderabad'],6-10,not disclosed,"['r', 'gcp', 'machine learning', 'aws', 'python', 'azure', 'data', 'machine']"
465,67,data scientist,euler motors,"['faridabad', ' gurugram', ' delhi / ncr']",2-4,not disclosed,"['python', 'devops', 'numpy', 'sql', 'data science', 'r', 'nosql', 'docker']"
466,68,sas data scientist,lericon informatics pvt. ltd.,['maharashtra'],2-6,not disclosed,"['sas', 'visualization', 'power bi', 'data mining', 'data management', 'predictive analytics', 'data analysis', 'statistical modelling']"
467,69,expert data scientist,ciklum,['chennai'],3-8,not disclosed,"['computer science', 'data analysis', 'operations research', 'ms sql', 'resourcing', 'medical insurance', 'business solutions', 'econometrics']"
468,70,data scientist - sagemaker,winning edge,['bengaluru'],5-9,not disclosed,"['sagemaker', 'gensim', 'java', 'spacy', 'nlp', 'pytorch', 'corenlp', 'elasticsearch']"
469,71,data scientist,roblox,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-6,not disclosed,"['san', 'prototype', 'people development', 'data management', 'analytical', 'genetics', 'operations', 'analytics']"
470,72,data scientist,lingaro sp z oo,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-7,not disclosed,"['supply chain', 'data analysis', 'coding', 'agile', 'data processing', 'fmcg', 'data mining', 'monitoring']"
471,73,data scientist,transorg,"['bangalore rural', ' gurgaon/ gurugram', ' mumbai (all areas)']",2-5,not disclosed,"['natural language processing', 'machine learning', 'python', 'sql', 'logistic regression', 'predictive modeling', 'statistical modeling', 'deep learning']"
472,74,data scientist - nlp/artificial intelligence,ezeiatech,['gurugram'],1-2,not disclosed,"['nlp', 'tensorflow', 'data scientist', 'artificial intelligence', 'machine learning', 'deep learning', 'python', 'machine']"
473,75,data scientist - i,netomi,['gurugram'],3-6,not disclosed,"['logistic regression', 'lms', 'neural networks', 'artificial intelligence', 'machine learning', 'information retrieval', 'customer service', 'operations']"
474,76,"data scientist, actimize",incontact,['pune'],2-7,not disclosed,"['power house', 'web services', 'data science', 'finance', 'machine learning', 'cloud', 'flex', 'data analyst']"
475,77,data scientist,birdeye australia,['gurugram'],1-2,not disclosed,"['computer science', 'gcp', 'analytical', 'social media', 'machine learning', 'silicon', 'customer experience', 'salesforce']"
476,78,data scientist,inapp,"['kochi', ' thiruvananthapuram']",4-9,not disclosed,"['training', 'deep learning', 'usage', 'data science', 'architecture', 'gcp', 'production operations', 'cloud']"
477,79,opening for data scientist,aspire systems,['hybrid - chennai'],6-8,not disclosed,"['opencv', 'keras', 'databricks', 'pyspark pytorch tensorflow', 'flask', 'dashplotly', 'neo4j', 'd3js']"
478,80,data scientist- gen ai bot,innover digital,['remote'],4-5,not disclosed,"['computer science', 'data analysis', 'git', 'data science', 'machine learning', 'cloud', 'model development', 'open source']"
479,81,data scientist,velocitai digital,['gurugram'],2-6,not disclosed,"['django', 'python', 'natural language processing', 'machine learning', 'machine', 'process', 'languages', 'processing']"
480,82,data scientist,llp s3bglobal technologies,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",6-10,not disclosed,['data scientist']
481,83,data scientist- llm/nlp,simetrik,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-3,not disclosed,"['computer science', 'training', 'continuous integration', 'data analysis', 'cassandra', 'machine learning', 'natural language processing', 'data privacy']"
482,84,data scientist,xoom,['bengaluru'],5-7,not disclosed,"['unix', 'data science', 'analytical', 'wellness', 'customer support', 'customer experience', 'operations', 'financial services']"
483,85,data scientist,xoom,"['chennai', ' bengaluru']",3-5,not disclosed,"['analytical', 'wellness', 'application development', 'risk management', 'business intelligence', 'data mining', 'financial services', 'analytics']"
484,86,data scientist,xoom,"['chennai', ' bengaluru']",4-7,not disclosed,"['computer science', 'deep learning', 'data science', 'diversity and inclusion', 'machine learning', 'wellness', 'analytics', 'monitoring']"
485,87,data scientist,xoom,"['chennai', ' bengaluru']",5-7,not disclosed,"['automation', 'coding', 'analytical', 'finance', 'diversity and inclusion', 'wellness', 'risk management', 'business intelligence']"
486,88,data scientist,ingersoll rand,['bengaluru'],8-10,8-14,"['sql database development', 'mlop', 'preventive maintenance', 'sql', 'python', 'vertex', 'ai algorithms', 'statistics.']"
487,89,data scientist - iot,cavotec india,['pune(viman nagar)'],5-10,not disclosed,"['cloud computing', 'data analytics', 'machine learning', 'python', 'nosql', 'aws', 'cloud', 'computation']"
488,90,data scientist,quantiphi analytics solutions,"['mumbai', ' bengaluru', ' thiruvananthapuram']",3-8,not disclosed,"['version control', 'machine learning', 'software development life cycle', 'open source', 'forecasting', 'aws', 'object oriented programming', 'monitoring']"
489,91,data scientist,kaleidofin,"['hybrid - chennai', ' bengaluru']",1-4,not disclosed,"['python', 'machine learning', 'deep learning', 'machine', 'data']"
490,92,data scientist (ai/ml),oneorigin,['bengaluru'],6-8,15-25,"['artificial intelligence', 'llm', 'machine learning', 'pytorch', 'nlp', 'azure', 'pincodb', 'hadoop']"
491,93,data scientist - computer vision (immediate joiners),valiance solutions,['bengaluru'],1-6,not disclosed,"['computer vision algorithms', 'object detection', 'c++', 'face detection', 'scaling model', 'model deployment', 'ml algorithms', 'deep learning']"
492,94,data scientist,idexcel technologies,"['hyderabad', ' bengaluru']",2-7,not disclosed,"['ocr', 'nlp', 'image processing', 'artificial intelligence', 'time series', 'computer vision', 'aws', 'machine learning']"
493,95,data scientist,soul ai,['remote'],0,not disclosed,"['data science', 'business intelligence', 'data engineering', 'natural language processing', 'debugging', 'data cleansing', 'machine learning', 'deep learning']"
494,96,data scientist,hiring right,['mohali(phase 8b mohali)'],3-6,7-15,"['data science', 'pytorch', 'tensorflow', 'keras', 'data modeling', 'data analytics', 'python', 'modeling']"
495,97,data scientist,it consulting,['pune'],5-10,not disclosed,"['data scientist', 'python', 'nlp', 'llm', 'machine learning', 'machine', 'natural language processing', 'data']"
496,98,data scientist,ciel hr,['hybrid - hyderabad'],5-10,not disclosed,"['data science', 'python', 'sql', 'ai', 'ml extract', 'science', 'artificial intelligence', 'ml']"
497,99,data scientist,service based company,['bengaluru'],8-13,8.5-18,"['data science', 'tensorflow', 'artificial intelligence', 'machine learning', 'natural language processing', 'deep learning', 'science', 'intelligence']"
498,100,data scientist,xebia,['bengaluru'],3-6,not disclosed,"['java', 'rest apis', 'http', 'autosys', 'spring boot', 'scipy', 'linux shell', 'pyspark']"
499,101,data scientist,indian mnc,['remote'],7-12,15-30,"['data science', 'sql', 'aws', 'azure', 'data', 'science', 'microsoft azure']"
500,102,data scientist,software,['bengaluru'],9-12,not disclosed,"['data science', 'machine learning', 'python', 'machine', 'data', 'science']"
501,103,renewable energy forecasting expert; data scientist,"jade business services, a us data and analytics.",['remote'],7-12,not disclosed,"['renewable energy expert', 'data science', 'machine learning', 'science', 'renewable energy', 'forecasting', 'machine', 'energy']"
502,104,data scientist,williams lea,"['kochi', ' chennai']",5-9,not disclosed,"['data science', 'python', 'tableau', 'powerbi', 'machine learning', 'sql', 'r', 'techflow']"
503,105,data scientist,ibm,['pune'],10-15,not disclosed,"['time series analysis', 'python', 'natural language processing', 'forecasting', 'pytorch', 'rest', 'kubernetes', 'github']"
504,106,"data scientist, actimize",nice,['hybrid - pune'],2-4,not disclosed,"['python', 'data analysis', 'natural language processing', 'scikit-learn', 'neural networks', 'linear regression', 'machine learning', 'nice']"
505,107,data scientist(5),ericsson,['noida'],3-7,not disclosed,"['data management', 'artificial intelligence', 'machine learning', 'cloud', 'programming', 'business intelligence', 'open source', 'business understanding']"
506,108,data scientist(5),ericsson,['noida'],3-8,not disclosed,"['computer vision', 'orchestration', 'gcp', 'analytical', 'machine learning', 'programming', 'data processing', 'sql']"
507,109,data scientist,orange business services,['gurugram'],3-5,not disclosed,"['automation', 'front end', 'machine learning', 'javascript', 'data processing', 'html', 'application development', 'customer support']"
508,110,"data scientist - python, javascript - l&t technology services",larsen & toubro (l&t),['chennai'],3-6,not disclosed,"['sas', 'data scientist', 'javascript', 'react', 'python', 'mysql', 'data mining', 'statistical analyses']"
509,111,data scientist,tata consultancy services,['mumbai (all areas)'],6-10,not disclosed,"['tensorflow', 'keras', 'ml', 'python', 'sql', 'sklearn', 'data', 'scikit-learn']"
510,112,data scientist,ford,['chennai'],6-7,not disclosed,"['logistic regression', 'sas', 'gcp', 'analytical', 'programming', 'deployment', 'analytics', 'sql']"
511,113,data scientist,data collection infotech,['bengaluru'],0-4,not disclosed,"['logistic regression', 'data analysis', 'client servicing', 'trend analysis', 'data mining', 'individual contributor', 'sql', 'python']"
512,114,data scientist,akaike technologies,['bengaluru'],0-6,not disclosed,"['deep learning', 'data analysis', 'git', 'analytical', 'mysql', 'machine learning', 'data visualization', 'data mining']"
513,115,data scientist,response informatics,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",0-5,not disclosed,"['deep learning', 'tdd', 'deployment', 'natural language processing', 'test driven development', 'mongodb', 'sql', 'python']"
514,116,product data scientist,sundial,['bengaluru'],0-7,not disclosed,"['economics', 'analytical', 'programming', 'statistics', 'data', 'program', 'analytics']"
515,117,data scientist,citriot,['bengaluru'],0-2,not disclosed,"['computer vision', 'c++', 'image processing', 'memory management', 'neural networks', 'mysql', 'machine learning', 'stored procedures']"
516,118,data scientist/data analyst,enflexis solutions,['remote'],2-6,9-12,"['data analytics', 'python', 'data science', 'data analysis', 'data', 'science', 'analytics']"
517,119,data scientist - media mix modelling,blend360 india,['hyderabad'],4-6,not disclosed,"['marketing analytics', 'machine learning', 'python', 'sql', 'pricing analytics', 'customer analytics', 'product analysis', 'machine']"
518,120,data scientist (banking/nbfc),muthoot microfin,"['kochi/cochin', ' ernakulam']",8-12,25-35,"['sql query', 'data science', 'data wrangling and visualization', 'python', 'predictive analytics', 'hypothesis testing', 'data mining', 'data extraction']"
519,121,data scientist,maxima consulting,['pune'],5-10,15-25,"['cloud', 'python', 'sql', 'gcp', 'ai', 'aws', 'azure', 'artificial intelligence']"
520,122,data scientist,tcg living spaces,"['mumbai suburban', ' navi mumbai', ' mumbai (all areas)']",5-10,30-45,"['sas', 'artificial intelligence', 'aiml', 'etl', 'machine learning', 'data mining', 'data processing', 'data analytics']"
521,123,graduate data scientist,worleyparsons,"['mumbai', ' navi mumbai']",5-10,not disclosed,"['computer science', 'data analysis', 'automation', 'architecture', 'analytical', 'machine learning', 'data quality', 'information technology']"
522,124,data scientist,cotiviti,['hybrid - hyderabad'],4-9,not disclosed,"['ai ml', 'nlp', 'artificial intelligence', 'pyhton', 'machine learning algorithms', 'machine learning', 'python', 'aiml']"
523,125,data scientist,worleyparsons,"['mumbai', ' navi mumbai']",5-10,not disclosed,"['data analysis', 'architecture', 'data science', 'consulting', 'machine learning', 'data structures', 'data quality', 'information technology']"
524,126,data scientist i,worleyparsons,"['mumbai', ' navi mumbai']",4-7,not disclosed,"['training', 'data analysis', 'architecture', 'data science', 'machine learning', 'data structures', 'data quality', 'information technology']"
525,127,data scientist,dun bradstreet information services india private limited,['chennai'],5-10,not disclosed,"['operations research', 'technical writing', 'risk analytics', 'analytical', 'html', 'business solutions', 'financial services', 'monitoring']"
526,128,data scientist,edelweiss financial services,['mumbai (all areas)'],2-5,not disclosed,"['predictive modeling', 'machine learning', 'python', 'modeling', 'predictive', 'machine', 'data']"
527,129,data scientist,wolters kluwer - medknow publications,"['kalyani', ' pune']",4-7,not disclosed,"['data analysis', 'coding', 'process improvement', 'analytical', 'machine learning', 'investigation', 'management', 'analytics']"
528,130,ml engineer / data scientist,collective s,['hyderabad'],1-3,4.5-6.5,"['pandas', 'regression', 'jupiter', 'machine learning', 'python', 'machine learning algorithms', 'numpy', 'software design']"
529,131,data scientist,icube human capital solutions (india) llp,['mumbai (all areas)(kalina)'],3-8,not disclosed,"['machine learning', 'aws', 'data science', 'artificial intelligence', 'scala', 'big data', 'spark', 'deep learning']"
530,132,data scientist required for a reputed organisation in hyderabad,masadir hr services,['hyderabad'],8-13,8-18,"['azure', 'data science', 'data scientist', 'ml modelling', 'machine learning', 'sql', 'machine', 'ml']"
531,133,data scientist,williams lea,"['kochi', ' chennai']",5-7,not disclosed,"['computer science', 'data analysis', 'data science', 'analytical', 'machine learning', 'data processing', 'data quality', 'financial services']"
532,134,data scientist maruti suzuki,maruti suzuki,['gurugram'],3-7,not disclosed,"['deep learning', 'data science', 'natural language processing', 'pandas', 'data visualization', 'machine learning', 'numpy', 'machine']"
533,135,data scientist,global pharma tek,['pune'],5-9,not disclosed,"['data science', 'python', 'r', 'data mining', 'social network analysis', 'machine learning', 'artificial intelligence', 'statistics']"
534,136,data scientist,leading client,['bengaluru'],10-15,not disclosed,"['data science', 'tensorflow', 'pytorch', 'java', 'c++', 'artificial intelligence', 'java script', 'go']"
535,137,ai business - sales data scientist,leading client,['bengaluru'],3-7,not disclosed,"['python', 'technical support', 'data analysis', 'machine learning', 'artificial intelligence', 'sql', 'communication skills', 'machine']"
536,138,data scientist,genius consultants,['mumbai (all areas)'],15-20,13-20,"['visualization', 'data breach', 'datamining', 'tableau', 'python', 'data governance', 'data visualization', 'data']"
537,139,data scientist,tech mahindra,"['hybrid - hyderabad', ' chennai', ' bengaluru']",5-10,not disclosed,"['data science', 'gen ai', 'azure', 'generative ai', 'mlops', 'natural language processing', 'machine laerning', 'llm']"
538,140,"data scientist - chennai, bangalore, hyderabad / 3+ relevant",2coms,['bengaluru'],6-11,not disclosed,"['hive', 'data', 'methods', 'office', 'tools', 'sql', 'docker', 'data science']"
539,134,data scientist,visa,['bengaluru'],3-7,not disclosed,"['computer science', 'operations research', 'business analytics', 'analytical', 'predictive modeling', 'business solutions', 'financial services', 'product marketing']"
540,135,generative ai data scientist,genpact,"['hyderabad', ' gurugram', ' bengaluru']",8-13,not disclosed,"['generative ai', 'llm', 'predictive modeling', 'natural language processing', 'computer vision', 'machine learning', 'modeling', 'predictive']"
541,136,data scientist,ibm,['bengaluru'],6-10,not disclosed,"['software development', 'artificial intelligence', 'sql', 'tensorflow', 'machine learning algorithms', 'continuous integration', 'algorithms', 'python']"
542,137,"distinguished, data scientist",walmart,['bengaluru'],10-14,not disclosed,"['c++', 'data management', 'coding', 'sez', 'data structures', 'data visualization', 'business strategy', 'information technology']"
543,138,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['algorithms', 'natural language processing', 'machine learning', 'sql', 'data science', 'hive', 'data analysis', 'pyspark']"
544,139,data scientist,siemens,['bengaluru'],2-3,not disclosed,"['backend', 'git', 'coding', 'machine learning', 'healthcare', 'data quality', 'monitoring', 'sql']"
545,140,data scientist,anz,['bengaluru'],2-7,not disclosed,"['usage', 'data science', 'data management', 'analytical', 'relationship building', 'machine learning', 'continuous improvement', 'forecasting']"
546,141,data scientist,anz,['bengaluru'],7-9,not disclosed,"['data management', 'data science', 'analytical', 'banking', 'manager technology', 'data quality', 'data analytics', 'financial services']"
547,142,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['project development', 'matrix', 'production support', 'compliance', 'kpi', 'mentor', 'software quality', 'technical documentation']"
548,143,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['time series analysis', 'bayesian', 'python', 'data analysis', 'natural language processing', 'probabilistic', 'linear regression', 'market mix modelling']"
549,144,data scientist i,philips,['bengaluru'],7-10,not disclosed,"['deep learning', 'computer vision', 'usage', 'analytical', 'machine learning', 'agile', 'healthcare', 'data processing']"
550,145,data scientist,novitas infotech,"['noida', ' gurugram', ' bengaluru']",3-7,not disclosed,"['customer analytics', 'social media', 'agile', 'customer service', 'data mining', 'analytics', 'sql', 'python']"
551,146,data scientist,essenware,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",2-5,not disclosed,"['interpersonal skills', 'gcp', 'data manipulation', 'machine learning', 'programming', 'healthcare', 'deployment', 'natural language processing']"
552,147,data scientist i,dxc technology,['bengaluru'],5-9,not disclosed,"['computer science', 'logistic regression', 'deep learning', 'interpersonal skills', 'git', 'social media', 'machine learning', 'agile']"
553,148,data scientist iii,inmobi,['bengaluru'],4-7,not disclosed,"['product engineering', 'scientist iii', 'coding', 'machine learning', 'conceptualization', 'agile', 'product design', 'analytics']"
554,149,data scientist,accolite software india pvt ltd,"['hyderabad', ' bengaluru']",3-6,not disclosed,"['machine learning', 'business rules', 'data analytics', 'data visualization', 'research', 'sql', 'python', 'rules']"
555,150,iam data scientist/ data analyst,treyas infotech and consulting,['bengaluru'],4-6,not disclosed,"['django', 'splunk', 'python', 'aware', 'apis', 'web framework', 'data analysis', 'data']"
556,151,data scientist & analyst,itday,['bengaluru'],5-7,not disclosed,"['computer science', 'c++', 'data analysis', 'simulation', 'coding', 'mysql', 'machine learning', 'javascript']"
557,152,forecasting analyst / data scientist,locus it services,['bengaluru'],2-7,not disclosed,"['bpo', 'analyst', 'statistical modeling', 'process documentation', 'analytical', 'trend analysis', 'budgeting', 'forecasting']"
558,161,data scientist - python & sql focus,viaprom technologies,['kolkata'],4-6,not disclosed,"['python', 'machine learning model development', 'data scientist', 'hadoop', 'data analysis', 'data visualization', 'spark', 'relational databases']"
559,162,data scientist,gophers.in,['noida'],4-8,not disclosed,"['data science', 'azure', 'relational databases', 'machine learning', 'data engineering', 'sql', 'google cloud', 'pytorch']"
560,163,data scientist,angel one,['remote'],2-7,not disclosed,"['data mining', 'machine learning', 'statistical modelling', 'python', 'data science', 'exploratory analysis', 'data analytics', 'deep learning']"
561,164,data scientist,prodapt solutions,['hybrid - chennai'],7-10,not disclosed,"['data science', 'artificial intelligence', 'machine learning', 'deep learning', 'python', 'machine', 'intelligence', 'data']"
562,165,data scientist,sap,['bengaluru'],4-8,not disclosed,"['machine learning algorithms', 'tensorflow', 'deep learning', 'scipy', 'data science', 'pandas', 'statsmodels', 'keras']"
563,166,data scientist,paypal,['bengaluru'],4-8,not disclosed,"['automation', 'operational risk', 'risk management', 'ifrs', 'stakeholder management', 'financial services', 'sql', 'python']"
564,167,data scientist,cgi,['bengaluru'],3-6,not disclosed,"['c#', 'algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'predictive', 'microsoft azure']"
565,168,data scientist,headstrait,['mumbai'],1-5,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'natural language processing', 'predictive', 'machine learning']"
566,169,data scientist,mad works,['hyderabad'],2-5,not disclosed,"['algorithms', 'python', 'natural language processing', 'neural networks', 'predictive analytics', 'machine learning', 'artificial intelligence', 'text analytics']"
567,170,data scientist,_vois,['hybrid - pune'],10-20,not disclosed,"['big data handling', 'aiml', 'machine learning', 'aws', 'deep learning', 'artificial intelligence', 'ai platform', 'intelligence']"
568,171,data scientist,apollo 247,['gurugram'],3-8,12-22,"['product management', 'management', 'data']"
569,172,data scientist (pytotrch/tensorflow),uplers,['remote'],3-6,20-32.5,"['data science', 'pytorch', 'machine learning', 'tensorflow', 'nosql', 'deep learning', 'python', 'science']"
570,173,data scientist,spidernine,['pune'],3-7,not disclosed,"['machine learning', 'programming', 'data visualization', 'python', 'data', 'program', 'machine']"
571,174,data scientist,travelfika,"['salem', ' coimbatore']",3-7,not disclosed,"['algorithms', 'python', 'modeling', 'data analysis', 'natural language processing', 'predictive', 'machine learning', 'data collection']"
572,175,data scientist,square panda,['mumbai'],3-5,not disclosed,"['statistical programming', 'data science', 'analytical', 'machine learning', 'data collection', 'data visualization', 'data mining', 'sql']"
573,176,data scientist | in app information technology,inapp,['thiruvananthapuram'],4-6,not disclosed,"['data science', 'natural language processing', 'statistical modeling', 'machine learning', 'deep learning', 'application', 'machine', 'technology']"
574,177,data scientist,devo,['noida'],3-8,not disclosed,"['performance tuning', 'security management', 'soc', 'debugging', 'machine learning', 'data quality', 'analytics', 'monitoring']"
575,178,data scientist,rarr technologies,['remote'],5-8,not disclosed,"['computer science', 'data analysis', 'usage', 'data science', 'data manipulation', 'focus', 'machine learning', 'deployment']"
576,179,data scientist,paypal,['bengaluru'],5-10,not disclosed,"['unix', 'data science', 'analytical', 'customer support', 'customer experience', 'operations', 'financial services', 'monitoring']"
577,180,data scientist,paypal,['bengaluru'],3-8,not disclosed,"['analytical', 'application development', 'risk management', 'business intelligence', 'data mining', 'financial services', 'analytics', 'monitoring']"
578,181,data scientist,paypal,['bengaluru'],4-8,not disclosed,"['deep learning', 'data science', 'diversity and inclusion', 'machine learning', 'analytics', 'monitoring', 'sql', 'python']"
579,182,data scientist - ss,daimler india commercial vehicles ltd,['bengaluru'],2-7,not disclosed,"['computer science', 'simulation', 'data modeling', 'coding', 'agile', 'customer service', 'distribution system', 'analytics']"
580,183,data scientist,conneqt digital,['bengaluru'],5-9,not disclosed,"['solution architecture', 'deep learning', 'sas', 'analytical', 'artificial intelligence', 'machine learning', 'data visualization', 'sql']"
581,184,data scientist,fluxwings solutions mumbai,['mumbai'],2-7,not disclosed,"['data prediction', 'data analysis', 'data mining', 'data crunching', 'analysis', 'data']"
582,185,data scientist,pega,['bengaluru'],6-11,not disclosed,"['product management', 'logistic regression', 'core java', 'pdf', 'neural networks', 'machine learning', 'agile', 'pega']"
583,186,data scientist,pg,['mumbai'],2-5,not disclosed,"['unix', 'supply chain', 'computer science', 'c++', 'data science', 'linux', 'data management', 'analytical']"
584,187,data scientist,"mutual mobile, inc.",['hyderabad'],8-13,not disclosed,"['advanced analytics', 'product engineering', 'business transformation', 'technology consulting', 'machine learning', 'silicon', 'medical insurance', 'forecasting']"
585,188,data scientist,paypal,['bengaluru'],5-10,not disclosed,"['automation', 'coding', 'analytical', 'finance', 'diversity and inclusion', 'risk management', 'business intelligence', 'individual contributor']"
586,189,data scientist,tokopedia,['bengaluru'],1-2,not disclosed,"['computer science', 'operations research', 'prototype', 'version control', 'formulation', 'machine learning', 'data processing', 'sql']"
587,190,data scientist,somet consulting,"['gandhinagar', ' ahmedabad', ' vadodara']",4-9,15-30,"['data science', 'predictive modeling', 'pyspark', 'amazon ec2', 'logistic regression', 'natural language processing', 'credit risk modelling', 'machine learning']"
588,191,data scientist,it consulting,['pune'],3-8,not disclosed,"['data scientist', 'nlp', 'rag', 'llm', 'python', 'natural language processing', 'data']"
589,192,data scientist,cynosure corporate solutions,['chennai'],2-6,not disclosed,"['natural language processing', 'ml algorithms', 'deep learning', 'framework', 'predictive analytics', 'algorithms', 'data', 'analytics']"
590,193,data scientist - telco,payu india,['bengaluru'],2-7,not disclosed,"['telecom', 'nosql', 'neural networks', 'analytical', 'machine learning', 'forecasting', 'operations', 'sql']"
591,194,data scientist (telco),payu india,"['gurugram', ' bengaluru']",2-7,not disclosed,"['telecom', 'logistic regression', 'analytical', 'social media', 'machine learning', 'forecasting', 'operations', 'financial services']"
592,195,data scientist,agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",5-10,not disclosed,"['data analysis', 'usage', 'git', 'data science', 'data modeling', 'data security', 'machine learning', 'troubleshooting']"
593,196,data scientist,tiger analytics,"['hybrid - hyderabad', ' bangalore rural', ' chennai']",4-6,not disclosed,"['data science', 'classification', 'regression', 'machine learning', 'python', 'predictive modeling', 'time series', 'statistical analyses']"
594,197,data scientist,expro informatics india,['bengaluru'],3-5,1-1.5,"['pyspark', 'azure', 'sparksql', 'python', 'sql', 'data scientist', 'data', 'microsoft azure']"
595,198,data scientists,mirafra,['bengaluru'],3-12,not disclosed,['data scientists']
596,199,data scientist,tiger analytics,['remote'],4-7,5-15,"['regression', 'model building', 'logistic regression', 'market mix modelling', 'marketing analytics', 'linear regression', 'time series analysis', 'classification']"
597,200,data scientist,tata technologies,"['hybrid - pune', ' bengaluru']",6-9,not disclosed,"['tensorflow', 'pyspark', 'keras', 'data']"
598,201,data scientist / decision scientist,maruti suzuki,['bengaluru'],3-5,not disclosed,"['cloud computing', 'data science', 'neural networks', 'machine learning', 'programming', 'telematics', 'data visualization', 'automotive']"
599,202,data scientist,tiger analytics,"['hyderabad', ' chennai', ' bengaluru']",4-7,not disclosed,"['data science', 'regression', 'machine learning', 'python', 'predictive modeling', 'classification', 'customer analytics', 'marketing analytics']"
600,203,data scientist,itc infotech,['bengaluru'],3-7,not disclosed,"['tableau', 'data management', 'data science', 'architecting', 'continuous improvement', 'analytics', 'management', 'data']"
601,204,data scientist,myntra,['bengaluru'],2-4,not disclosed,"['nosql', 'machine learning', 'performance testing', 'scm', 'troubleshooting', 'forecasting', 'monitoring', 'sql']"
602,205,data scientist,alyssum global services,"['hybrid - noida', ' new delhi', ' bengaluru']",3-7,6-15,"['r', 'insight generation', 'artificial neural networks', 'data modeling', 'python', 'google analytics', 'decision tree', 'data interpretation']"
603,206,nlp data scientist - real world data (rwd),agilite global solutions,"['kolkata', ' mumbai', ' new delhi', ' hyderabad', ' pune', ' chennai', ' bengaluru']",7-8,not disclosed,"['computer science', 'health insurance', 'pharma', 'analytical', 'agile', 'healthcare', 'life sciences', 'open source']"
604,207,data scientist,subhag healthtech,['bengaluru'],5-7,not disclosed,"['relationship management', 'erp', 'surgical', 'pharma', 'analytical', 'healthcare', 'digital marketing', 'ms office']"
605,208,data scientist / data engineer,bizopp management consultants,['chennai'],4-9,10-12,"['deep learning', 'machine learning', 'python', 'c++', 'r', 'nosql', 'data analysis', 'data scientist']"
